Wall time,Step,Value
1743512033.350481,0,0.5798485279083252
1743512147.500368,1,0.7069476246833801
1743512260.709876,2,0.7724728584289551
1743512371.923475,3,0.8389858603477478
1743512483.24966,4,0.8837668895721436
1743512594.489858,5,0.9101086854934692
1743512706.644835,6,0.9473164081573486
1743512817.896945,7,0.9618043899536133
1743512929.295866,8,0.9654263854026794
1743513040.517268,9,0.9769509434700012
1743513152.554845,10,0.9825485944747925
1743513264.030774,11,0.9815607666969299
1743513374.773804,12,0.9825485944747925
1743513485.278494,13,0.9835363626480103
1743513595.796674,14,0.9973658323287964
