Wall time,Step,Value
1743512033.350967,0,0.8945007920265198
1743512147.500886,1,0.694697916507721
1743512260.710334,2,0.5655151605606079
1743512371.923863,3,0.4127063453197479
1743512483.250061,4,0.3054671287536621
1743512594.490249,5,0.24509190022945404
1743512706.64527,6,0.16035263240337372
1743512817.897567,7,0.11184363812208176
1743512929.296268,8,0.09377109259366989
1743513040.517669,9,0.07012749463319778
1743513152.555224,10,0.04518774524331093
1743513264.031159,11,0.059650205075740814
1743513374.774184,12,0.05859879031777382
1743513485.278981,13,0.048268046230077744
1743513595.79709,14,0.01056010089814663
